"quality_band","OBJECTID","HYDRO_TYPE","NAME","DWQREVIEW","non_empty_fields","completeness_ratio","name_length","ingested_at","ingest_year","ingest_month","min_ratio"
"LOW",79,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",80," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",81,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",82," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",83,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",84,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",85,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",86,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",87,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",88,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",89," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",90,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",91," ","NEW LIGHT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",92,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",93,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",94,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",95," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",96," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",97,"STREAM/RIVER","NEUSE RIVER","",3,0.75,11,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",98,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",99,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",100,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",101,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",102,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",103,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",104,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",105," ","NEW LIGHT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",106," ","NEW LIGHT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",107,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",108,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",109,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",110," ","HARRIS CREEK","",2,0.5,12,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",111,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",112," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",113,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",114," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",115," ","WHITE OAK CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",116,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",117,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",118,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",119,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",120,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",121,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",122,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",123,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",124,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",125,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",126," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",127,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",128,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",129,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",130," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",131,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",132,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",133,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",134,"TUNNEL/CULVERT"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",135,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",136," ","HARRIS CREEK","",2,0.5,12,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",137,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",138,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",139,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",140,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",141," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",142,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",143,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",144,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",145," ","LOWER BARTON CREEK","",2,0.5,18,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",146,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",147,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",148,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",149," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",150," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",151,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",152,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",153,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",154,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",155,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",156," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",157,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",158,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",159,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",160," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",161,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",162,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",163,"RESERVOIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",164,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",165,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",166,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",167,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",168,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",169,"TUNNEL/CULVERT"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",170," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",171," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",172,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",173,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",174,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",175," ","NEW LIGHT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",176," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",177," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",178,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",179," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",180,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",181,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",182," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",183,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",184,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",185,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",186,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",187,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",188," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",189,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",190,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",191,"ROCK/ISLAND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",192,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",193,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",194,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",195,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",196,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",197,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",198,"TUNNEL/CULVERT"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",199," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",200,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",201,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",202,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",203,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",204,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",205,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",206,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",207,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",208,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",209,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",210,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",211,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",212,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",213,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",214,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",215," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",216," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",217," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",218," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",219," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",220,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",221," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",222,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",223," ","NEW LIGHT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",224,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",225,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",226,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",227,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",228,"RESERVOIR","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",229,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",230,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",231,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",232," ","NEW LIGHT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",233,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",234," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",235," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",236,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",237,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",238," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",239,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",240," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",241,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",242," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",243,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",244," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",245,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",246,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",247,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",248,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",249,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",250,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",251," ","LITTLE RIVER","",2,0.5,12,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",252,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",253,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
